"","ID","mean_TL","cv_TL","sd_TL","mean_HD","cv_HD","sd_HD","mean_HF","cv_HF","sd_HF","mean_ratio.HD","cv_ratio.HD","sd_ratio.HD","mean_ratio.HF","cv_ratio.HF","sd_ratio.HF","n_photos","n_HF","n_HD","date","mean_altitude","suckled_ever","suckling_ever"
"1"," GAL2023_083",16.1858200454536,NA,NA,10.8022559951872,NA,NA,6.4594629212972,NA,NA,0.667390096074954,NA,NA,0.399081597543869,NA,NA,1,1,1,"20230429",65.303195,FALSE,FALSE
"2","GAL2023_001",14.646790522102,1.96902764499226,0.288399354484294,10.3557892305719,2.52427315339567,0.261408407369566,5.9055215995358,2.48036039620287,0.261408407369566,0.70703699751778,1.61836309788346,0.011442425856211,0.40319060260996,1.42069141476657,0.0057280942764253,8,8,8,"20230201",29.7463325,FALSE,FALSE
"3","GAL2023_002",16.0884475964517,1.65551332602724,0.266346393910167,11.019241238384,4.77383751261981,0.526040671844047,6.26161515595973,4.02920715088318,0.526040671844047,0.684702908072854,3.31613281490583,0.0227056578192184,0.389121715869436,2.77821791714635,0.010810649229792,3,3,3,"20230201",36.827195,FALSE,FALSE
"4","GAL2023_003",15.636953577978,2.38672583591629,0.373211210995838,10.79371944344,2.36454867323877,0.255222749892975,NA,NA,0.255222749892975,0.690271795191222,0.022183422317342,0.000153125907464767,NA,NA,NA,2,0,2,"20230208",31.182845,FALSE,FALSE
"5","GAL2023_004",15.2761644346905,2.01963572796185,0.308522874785211,10.3133664926428,2.26702570668784,0.233806669613143,6.2141964820632,3.32581566441817,0.233806669613143,0.67515896882672,1.50194247443511,0.0101404993227666,0.409035201599555,2.99627774055288,0.0122558306965531,6,4,6,"20230403",35.555945,FALSE,FALSE
"6","GAL2023_006",12.5927336304969,0.785116918215747,0.0988676821988755,8.5266778193228,1.08420234555671,0.0924464409151619,4.4547957155088,3.66437766134925,0.0924464409151619,0.677177360784413,1.87425823140866,0.0126920524257378,0.353712122204239,2.98645584912509,0.010563456362633,3,3,3,"20230405",21.843395,FALSE,FALSE
"7","GAL2023_007",12.7141932923157,1.97429065926127,0.251015130570611,8.5774968605574,3.74220655128442,0.320987649451995,4.8985730194708,4.16125986151856,0.320987649451995,0.674520867774736,2.46173375636475,0.0166049078957351,0.380331108287711,2.08264901042269,0.00792096206308367,6,3,6,"20230405",28.928495,FALSE,FALSE
"8","GAL2023_008",13.0358368121528,1.96269723252781,0.255854008348964,9.23210417878667,0.992762442061528,0.0916528628989869,NA,NA,0.0916528628989869,0.708390364016721,2.19955527170287,0.0155814375959649,NA,NA,NA,3,0,3,"20230405",23.741795,FALSE,FALSE
"9","GAL2023_009",10.3637085779117,1.97229712361789,0.204403126182293,6.67233765080933,2.57701305807393,0.17194701254014,3.205136707476,NA,0.17194701254014,0.643807862309277,1.53121595017328,0.00985808867614928,0.303898786470436,NA,NA,3,1,3,"20230215",24.589295,FALSE,FALSE
"10","GAL2023_010",10.6119110806808,2.49602105465809,0.264875534875388,6.8467076753136,3.94247216524036,0.269929544334614,NA,NA,0.269929544334614,0.645074320724125,1.44716315056341,0.00933527786326676,NA,NA,NA,2,0,2,"20230215",38.962895,FALSE,FALSE
"11","GAL2023_011",10.8115484943181,6.07106579707614,0.656376222772849,7.00824266388907,7.02644314096132,0.492430185958758,3.4975879026232,4.58999394676272,0.492430185958758,0.647968613735467,0.975950021673309,0.00632384982618753,0.32405496091568,6.0257763426684,0.0195268271721004,3,3,3,"20230215",30.420095,TRUE,FALSE
"12","GAL2023_012",11.9247313730217,1.06419911091247,0.126902885250398,7.864548925516,0.954202178303672,0.0750436971610317,3.6780538313776,5.27007993320075,0.0750436971610317,0.659525844324079,0.377338997984,0.00248864821241799,0.307693118248545,4.78947538587338,0.0147368861625403,6,5,6,"20230215",34.827095,FALSE,FALSE
"13","GAL2023_013",11.3451662805743,5.28393475458765,0.599471184065022,7.474047448118,5.87062668925435,0.438773424256749,3.2629574279756,8.20903579781618,0.438773424256749,0.658649194122183,0.953774867860274,0.00628203048090161,0.287302173602066,3.39563011743546,0.00975571913487846,6,6,6,"20230215",31.742195,FALSE,FALSE
"14","GAL2023_014",10.4248249012456,4.24504018873218,0.442538006662835,6.9334255112344,5.56416728664194,0.385787394139791,3.39451304298987,8.93939629413753,0.385787394139791,0.665089492993029,3.74408221833088,0.024901497443139,0.325212382009501,5.01531499164676,0.016310425349614,3,3,3,"20230215",19.470395,FALSE,FALSE
"15","GAL2023_015",9.37383255598373,3.01673148358209,0.282783357934629,6.05271424116307,3.56580742478172,0.215828133812213,3.07679056224453,8.47068244893849,0.215828133812213,0.645702021019427,1.86534661299718,0.0120445807791402,0.328442926298458,6.83849890198647,0.0224605659085723,6,3,6,"20230215",29.165795,FALSE,FALSE
"16","GAL2023_016",11.3247188073635,2.08034977172158,0.235593761857097,7.4068976900856,3.8197610712226,0.282925794551176,3.6696569928212,1.98659012551889,0.282925794551176,0.65388844354805,1.76150086412158,0.01151825058349,0.325218202390625,0.837450403557683,0.00272354114836333,3,2,3,"20230215",39.335795,FALSE,FALSE
"17","GAL2023_017",9.81775565882667,2.49776066653562,0.245224039182747,6.66878857686213,2.50217319643419,0.16686464029711,2.87150392144827,1.815932418773,0.16686464029711,0.679328835082476,1.74147223276889,0.0118303230321537,0.292565220200279,2.38294216846219,0.00697166000240669,3,3,3,"20230215",39.403595,FALSE,FALSE
"18","GAL2023_018",7.16764359229653,1.60422677830508,0.114985257881089,4.5190112356104,2.66439145160785,0.120404149058802,NA,NA,0.120404149058802,0.630407705313694,1.18169968905374,0.00744952589346273,NA,NA,NA,3,0,3,"20230215",23.945195,FALSE,FALSE
"19","GAL2023_019",10.6307703910772,0.667280167845613,0.0709370225088617,6.9084643513364,0.216666849802634,0.0149683520797785,3.5001471558988,1.72677336551648,0.0149683520797785,0.649865246185896,0.450616575493685,0.00292840051768649,0.329273101420094,2.39391561490163,0.0078825201905665,2,2,2,"20230216",28.843745,FALSE,FALSE
"20","GAL2023_020",11.8695830346268,1.42428102654683,0.16905621909241,7.7937920602504,0.761019407151858,0.0593122701315662,3.7055384630148,1.28288213539016,0.0593122701315662,0.656721054345336,2.1851820071586,0.0143505503167766,0.312190897459068,0.14141181043138,0.00044147480009884,2,2,2,"20230216",28.843745,FALSE,FALSE
"21","GAL2023_021",11.3181021212227,0.488122612234947,0.0552462157295311,7.31143913220293,1.02687016386445,0.075078986997702,3.38044514240747,3.97245735294736,0.075078986997702,0.645992487508932,0.830979809537399,0.00536806714232763,0.298642620695281,3.48466731582779,0.0104067017945,3,3,3,"20230217",41.166395,FALSE,FALSE
"22","GAL2023_022",11.3003654796213,1.37408596954397,0.155276736562667,7.12322952755547,1.28384635512796,0.0914513226569192,3.2562325575128,0.634150216899813,0.0914513226569192,0.630407658784349,1.51525417739376,0.00955227838434003,0.289622194268693,0.8808162691524,0.00255103940619482,3,2,3,"20230217",34.860995,FALSE,FALSE
"23","GAL2023_023",10.1112032812269,2.02249031811484,0.204498107407724,6.54593768353013,2.58840492401801,0.169435373323644,3.13356359041947,12.1636140270043,0.169435373323644,0.647345127527099,0.567085403944619,0.00367099973135286,0.309906715347196,12.0135979443815,0.0372309467844509,3,3,3,"20230217",82.659995,FALSE,FALSE
"24","GAL2023_024",10.9811105662136,0.751295595642781,0.0825006000366268,7.4003165363816,3.01844977209136,0.223374837626449,3.33724435965947,1.29109645582076,0.223374837626449,0.6738572422087,2.45667923402316,0.0165545109363023,0.303900435677573,0.619819555098488,0.0018836343283591,3,3,3,"20230217",58.014695,FALSE,FALSE
"25","GAL2023_025",10.8649854897802,0.493615189607956,0.0536312187262555,7.1284105094666,2.36238420025417,0.168400443604896,3.26686863360827,1.10868380186815,0.168400443604896,0.656087609080912,2.27905605891719,0.0149526044065635,0.301066868733208,0.93491726863935,0.00281472614593852,4,3,4,"20230217",79.36322,FALSE,FALSE
"26","GAL2023_026",10.4041147773034,1.40181042033541,0.145845965091895,6.843447910757,2.17505346281476,0.148848650758845,2.97790456901787,5.07397442533225,0.148848650758845,0.657812901458865,2.16766459580715,0.0142591773715756,0.287092298456718,3.91716730341671,0.0112458856457741,4,3,4,"20230217",79.236095,FALSE,FALSE
"27","GAL2023_027",10.0139466444987,0.29183967185516,0.0292246690270557,6.6211162627304,1.15462176123644,0.0764488492062499,2.7722401792152,5.29301045855199,0.0764488492062499,0.661201069638663,1.33162115093611,0.00880469329352421,0.276371351915735,5.25978573813335,0.0145365409523502,3,2,3,"20230217",53.234795,FALSE,FALSE
"28","GAL2023_028",11.8978873824893,2.91934432001769,0.347340299502804,7.7914349526696,5.08236270800886,0.395988984453248,NA,NA,0.395988984453248,0.654778832284892,3.78110830382993,0.0247578967992447,NA,NA,NA,3,0,3,"20230217",63.642095,FALSE,FALSE
"29","GAL2023_029",6.91418932559627,1.56676856403059,0.108329344811001,4.4911441001968,3.71646454044052,0.1669117779439,1.620985365712,NA,0.1669117779439,0.64990301380839,5.21717332330501,0.0339065666637666,0.230714285714286,NA,NA,3,1,3,"20230218",37.505195,FALSE,FALSE
"30","GAL2023_030",10.4482462538112,1.55279361369882,0.162239700572707,6.73200951618667,1.52210250211875,0.10246808528875,3.08914049648347,2.6989057113921,0.10246808528875,0.644350520364992,1.14696448777403,0.00739047164537366,0.295665977816863,2.29796381932668,0.00679429719628996,3,3,3,"20230220",53.946695,FALSE,FALSE
"31","GAL2023_031",3.64509949985126,7.53411231005975,0.27462589013222,2.2270842041874,6.59850778166248,0.146954324517481,NA,NA,0.146954324517481,0.60243434380314,4.12996186392213,0.0248803086542392,NA,NA,NA,13,0,4,"20230220",47.9516103846154,FALSE,FALSE
"32","GAL2023_032",11.3907953120312,2.20891670289931,0.251613180240529,7.55130460554827,1.09350135463871,0.0825736181545658,3.4569804524656,NA,0.0825736181545658,0.66308802967546,1.86746259014878,0.0123829208939439,0.304534239372244,NA,NA,3,1,3,"20230220",34.962695,FALSE,FALSE
"33","GAL2023_033",10.2894735591869,4.35709720075721,0.448322364419988,6.98089789624613,4.38866890723996,0.306368495418722,3.2728244738224,NA,0.306368495418722,0.678518669020299,1.87605851575132,0.0127294072711178,0.326394169835234,NA,NA,3,1,3,"20230220",24.860495,TRUE,FALSE
"34","GAL2023_034",10.8469604904584,1.53059136857627,0.166022641019835,7.2234557347736,2.26976955261265,0.163955798914344,3.17099987027733,3.01184057197935,0.163955798914344,0.666043310674142,2.71834517744621,0.0181053562154136,0.292296313997459,1.47555877343118,0.00431300390560546,3,3,3,"20230220",25.674095,FALSE,FALSE
"35","GAL2023_035",10.466075243736,1.84668195079985,0.193275122483204,6.63069819034053,0.590985765143323,0.0391864824345285,NA,NA,0.0391864824345285,0.633644753746135,1.34938055847603,0.00855027911685364,NA,NA,NA,3,0,3,"20230221",38.013695,FALSE,FALSE
"36","GAL2023_036",10.4750053070489,5.11160159935315,0.535440538807441,6.78554560186187,6.77894261395928,0.459988242394254,3.252381285456,6.98213881017855,0.459988242394254,0.647607643040346,3.63846489638847,0.0235629767583517,0.309197496466599,2.22553206708182,0.00688128943447833,6,5,6,"20230222",36.894995,FALSE,FALSE
"37","GAL2023_037",10.6812060717256,1.64699264302752,0.175918678187929,6.90716195290773,0.978797663118246,0.0676071397828535,3.2400421176804,3.61951958431211,0.0676071397828535,0.646841130722665,2.53306076920791,0.0163848789214367,0.30617515033797,4.287428623961,0.0131270410350457,3,2,3,"20230222",62.116595,FALSE,FALSE
"38","GAL2023_038",11.167635854628,1.18439099117138,0.132268472989039,7.22070504773653,3.52071605635361,0.254220521997596,3.382574415082,0.803025496131967,0.254220521997596,0.646559972741006,3.23832066430707,0.0209376852044102,0.30492315886465,1.20488819420995,0.00367398314257221,3,2,3,"20230223",27.063995,TRUE,FALSE
"39","GAL2023_041",9.0345173339068,3.37479916511834,0.304896815557158,5.94962332969627,3.1919216667793,0.189907316152331,2.83685787242227,4.05301267719511,0.189907316152331,0.658624510165374,1.52214361616856,0.0100252109360037,0.313979261831231,1.61297081684368,0.00506439386427895,3,3,3,"20230322",19.572095,FALSE,FALSE
"40","GAL2023_042",6.6886310832868,2.56377852034487,0.171481687018417,4.2145464824368,2.8397759916468,0.119683679165035,1.98258093254373,0.811680758177795,0.119683679165035,0.630095685556084,0.981445170689882,0.00618404367661549,0.296540073520403,2.69151908772029,0.00798143268154142,3,3,3,"20230323",34.420295,FALSE,FALSE
"41","GAL2023_043",10.5096912589477,1.05505791387599,0.110883329351461,6.85179405736987,0.254096533521654,0.0174101711838195,NA,NA,0.0174101711838195,0.652008277452665,1.27535136045974,0.00831539643680269,NA,NA,NA,3,0,3,"20230322",23.640095,TRUE,FALSE
"42","GAL2023_044",8.25886734023146,3.98878556131346,0.329428507995185,5.32345826314387,6.94141972185024,0.369523581762335,2.36233067489627,2.28087148881701,0.369523581762335,0.644200932219953,3.7829809129822,0.0243699983071343,0.286168130103634,1.74087927272854,0.004981841662129,3,3,3,"20230323",18.961895,FALSE,FALSE
"43","GAL2023_045",10.4220959157791,2.53854310495969,0.264569397262296,6.71681140967807,1.27691123146995,0.0857677192868342,3.1256264056128,NA,0.0857677192868342,0.644798889472814,2.6661750540927,0.0171914671401909,0.302449988761519,NA,NA,6,1,6,"20230323",22.775645,TRUE,FALSE
"44","GAL2023_046",10.5156187864588,0.868768714610372,0.0913564061644449,6.83383396528747,3.3663833793435,0.230053050779368,NA,NA,0.230053050779368,0.649977657819483,3.92713718328081,0.0255255142832466,NA,NA,NA,3,0,3,"20230324",56.251895,FALSE,FALSE
"45","GAL2023_047",7.8577725496232,1.35884281612986,0.106774777798379,5.1388436648543,3.76496144669871,0.193475482787883,2.3905791281968,6.2810415800866,0.193475482787883,0.653863882853989,2.7424813017177,0.017932094725956,0.302791893462846,5.3018320180833,0.0160535175557738,4,2,4,"20230324",69.54917,FALSE,FALSE
"46","GAL2023_048",11.9653742696309,0.495679078349685,0.059309856900797,7.6486155660848,2.30460347065401,0.176270259792973,3.5168526336886,2.52950482106342,0.176270259792973,0.639268395433557,2.63059946765897,0.0168165910071872,0.293096367961224,2.64489929875878,0.00775210378089388,3,2,3,"20230324",51.539795,FALSE,FALSE
"47","GAL2023_049",7.4425840967235,1.57756427911925,0.11741154815332,4.6031181381656,2.33791014913134,0.107616766128679,2.19697750003947,3.63100623710383,0.107616766128679,0.618454144259822,1.31548270266435,0.00813565729164876,0.295735905054379,5.25576319794674,0.0155431788609628,4,3,4,"20230324",98.355695,FALSE,FALSE
"48","GAL2023_050",10.275746699521,5.58113487700429,0.573503282919584,6.4807065043697,7.40195246330345,0.47969881473966,NA,NA,0.47969881473966,0.630302413167402,2.7356260411101,0.0172427169523528,NA,NA,NA,4,0,4,"20230408",97.084445,FALSE,FALSE
"49","GAL2023_052",4.07638427951613,5.28622826717661,0.215486978062525,2.53658393474613,7.09138533504386,0.179878941159666,1.1143627041418,11.9255394984476,0.179878941159666,0.621886001284576,1.84989602598101,0.0115042444238956,0.268109799325028,5.98121016921438,0.0160362105818889,3,2,3,"20230408",19.165295,FALSE,FALSE
"50","GAL2023_053",11.0464989805093,1.85171704548605,0.204549904551535,7.433730821932,1.89806203350367,0.141096822403952,3.10750211117627,1.58622713372484,0.141096822403952,0.672987018041235,1.35233444275657,0.00910103524025201,0.281333463443347,1.19897747990103,0.00337312487011134,3,3,3,"20230408",55.404395,FALSE,FALSE
"51","GAL2023_054",4.19157354464408,6.4278538158588,0.269428220033932,2.75528263813712,9.29962031316923,0.256230823901425,1.16444787900733,5.59146701017122,0.256230823901425,0.656641411412824,4.83898990917727,0.0317748116377458,0.285783412489326,5.97959752848637,0.0170886978700357,5,3,5,"20230408",39.573095,FALSE,TRUE
"52","GAL2023_055",12.3203488440317,1.06619059853743,0.131358401082082,8.3648815950872,1.32765227717396,0.111056540980081,NA,NA,0.111056540980081,0.678972048882264,1.30013133058785,0.00882752833345255,NA,NA,NA,3,0,3,"20230408",40.183295,FALSE,FALSE
"53","GAL2023_056",10.0613629824612,2.34009193362367,0.235445143565172,6.56233287865267,2.82198806667705,0.185188250731203,3.1084831852878,2.26159401088963,0.185188250731203,0.652185403804378,0.617134199773486,0.00402485917280763,0.307465362901979,0.80178134703432,0.00246519992833944,3,2,3,"20230409",39.471395,TRUE,FALSE
"54","GAL2023_057",12.1231932474019,2.07630199507069,0.251714103262081,8.33473714439587,2.82169964870267,0.235181248723709,3.90867034461267,1.4545467538113,0.235181248723709,0.68743513862559,0.801024278922776,0.00550652236223742,0.322494008863014,2.33016453430362,0.00751464101977991,3,3,3,"20230409",24.657095,FALSE,FALSE
"55","GAL2023_058",4.2262641451934,0.957730273628311,0.0404762111620159,2.620926923761,0.997110753846202,0.0261335442072714,1.1183212785532,NA,0.0261335442072714,0.620151010671473,0.0393823606530514,0.000244230107616183,0.262832306748793,NA,NA,2,1,2,"20230409",34.640645,FALSE,FALSE
"56","GAL2023_059",10.0925822433637,0.860451582928198,0.0868417836713535,6.6461583732416,2.19448147157078,0.145848714072037,3.0126825158256,3.96176984976926,0.145848714072037,0.658485189102398,1.5807060381597,0.0104087151445289,0.29855738640319,4.51962585908461,0.0134936768400857,3,3,3,"20230409",44.420795,FALSE,FALSE
"57","GAL2023_060",11.2836131295519,1.42463306273358,0.160750083314543,7.4322699559012,0.600446536816242,0.0446268075570428,NA,NA,0.0446268075570428,0.658732518754197,0.901894588807295,0.0059410729413581,NA,NA,NA,3,0,3,"20230409",44.285195,FALSE,FALSE
"58","GAL2023_061",10.0694293284964,1.29763444750356,0.130664383633596,6.40965079204067,0.80916750052638,0.0518648111064248,3.309380415787,0.930341671470956,0.0518648111064248,0.636606265987868,1.35429636177735,0.00862153549912033,0.326391689082063,1.5858560948497,0.00517610249439079,3,2,3,"20230409",44.454695,FALSE,FALSE
"59","GAL2023_062",11.1560397655825,2.30100494656641,0.25670102684697,7.2342176303024,0.945197122712614,0.0683776168923869,NA,NA,0.0683776168923869,0.648596995522914,1.42612110504857,0.00924977863986323,NA,NA,NA,3,0,3,"20230409",44.285195,FALSE,FALSE
"60","GAL2023_063",7.37211738704613,3.21586904977723,0.237077641363262,4.7146763360944,5.22230129129159,0.246214603180077,2.0949570236356,0.418958513022447,0.246214603180077,0.639283784480646,2.27099368693974,0.0145180943871849,0.281421596345137,3.30994210475024,0.00931489190928796,3,2,3,"20230215",24.657095,FALSE,TRUE
"61","GAL2023_064",10.8046326365675,1.66367481830523,0.179753952384961,6.97661980995813,1.81667504743549,0.126742511241951,3.14172876488827,5.50297873149984,0.126742511241951,0.645713679526794,0.952038111825576,0.00614744032236634,0.290710882061885,4.61361925518668,0.0134122932317302,3,3,3,"20230220",39.979895,FALSE,FALSE
"62","GAL2023_065",8.69923523106093,1.15830791584651,0.100763930299487,5.5700598499064,2.36482756402891,0.131722310663494,2.65960679760893,1.70129547290408,0.131722310663494,0.640276864587028,1.88410091277908,0.0120634622499975,0.305723532500552,1.02692316517607,0.00313954577664276,3,3,3,"20230408",43.980095,FALSE,FALSE
"63","GAL2023_066",11.2024841131904,0.69531816912462,0.0778929074323116,7.35742822215756,1.94103370455791,0.142810161580734,3.57985756079853,1.08055162732484,0.142810161580734,0.656756769142671,1.71160814535153,0.0112411023557935,0.318684458836472,0.94717175642309,0.00301848918620883,9,3,9,"20230409",60.850995,FALSE,FALSE
"64","GAL2023_080",10.6531400705297,0.710313157072306,0.0756706555623147,7.03305812541627,1.1830662753541,0.0832057388078514,3.1654290297392,1.84265662312564,0.0832057388078514,0.660180403186931,0.785244732199443,0.00518403183903842,0.297138859759308,1.79162865542915,0.0053236249578632,3,3,3,"20230412",47.844695,FALSE,FALSE
"65","GAL2023_081",15.6554959505243,2.45286851373823,0.384008730839973,10.9523801386048,1.96016169400492,0.214684360058734,6.02325211961667,5.06653280710833,0.214684360058734,0.699700518450195,1.66967511870664,0.0116827254620243,0.384576606693314,2.60751676082394,0.0100278994777361,3,3,3,"20230426",27.538595,FALSE,FALSE
"66","GAL2023_082",10.9835248241263,1.58447036186873,0.174030695526775,7.31535063380093,4.32871472468398,0.316660660047604,3.5150009425952,5.02067383577658,0.316660660047604,0.665861739599168,2.94275443987492,0.0195946759054829,0.317153041056303,4.56054439813467,0.014463905247407,3,2,3,"20230429",54.963695,FALSE,FALSE
"67","GAL2023_083",15.9031904296214,0.983805707966975,0.156456495195473,10.728465996965,1.56279951439684,0.167664414502799,6.7762565566256,NA,0.167664414502799,0.674695435832124,2.5464094682713,0.0171805084600235,0.423150488878188,NA,NA,2,1,2,"20230429",65.303195,FALSE,FALSE
"68","GAL2023_084",11.1047348931779,0.287978203232093,0.0319792160190609,7.37932643046133,1.62805681253326,0.120139626670193,3.3549638878116,1.94526913256483,0.120139626670193,0.664515688411122,1.52793402166465,0.0101533612825326,0.302120034935617,1.91830733959754,0.00579559080456458,3,3,3,"20230429",36.928895,TRUE,FALSE
"69","GAL2023_085",10.3439342230319,1.87588922500162,0.19404074753111,6.7443347298856,1.17212315972057,0.0790519093380671,3.1994116468428,6.6953733449017,0.0790519093380671,0.652097341359452,1.39396704131137,0.00909002201581846,0.309151415811707,5.22716621666096,0.0161598583656386,3,3,3,"20230429",34.216895,FALSE,FALSE
"70","GAL2023_086",11.7974099224113,1.2422566018965,0.146554103613948,7.63492344979427,1.73805026891358,0.132698807550495,3.4278552023188,1.63096817629687,0.132698807550495,0.647150136609199,0.750475917493396,0.00485670592527765,0.290569484369983,1.45205243795043,0.00421922128173434,3,3,3,"20230429",41.098595,TRUE,FALSE
"71","GAL2023_087",11.6571024751787,0.855270380948243,0.0996997447469876,7.69657399031973,1.01734544094993,0.0783007445998556,3.45606288470547,1.2207715260387,0.0783007445998556,0.660245450607637,0.458388966757499,0.00302649229910374,0.296473543262954,0.644835058489185,0.00191176534610463,3,3,3,"20230429",39.234095,FALSE,FALSE
"72","GAL2023_088",10.4938419193971,2.149498150193,0.225564937941618,6.61299446561107,4.15328489856665,0.274656500483273,3.12546201482267,2.31494579109884,0.274656500483273,0.630002430917872,2.05831157466096,0.012967412956228,0.297838883153973,0.953852547930159,0.0028409437756909,3,3,3,"20230429",34.420295,FALSE,FALSE
"73","GAL2023_089",10.0864329435016,2.85782878338851,0.28825298387657,6.69742984865893,0.770800767606829,0.0516238406833919,3.37820216967,5.49386248704882,0.0516238406833919,0.664392289148657,3.16218146825861,0.021009289843998,0.334823680738693,3.64918656643907,0.0122183407787732,3,3,3,"20230430",21.911195,FALSE,FALSE
"74","GAL2023_090",11.3264480282671,1.29842729796763,0.147065693089136,7.55451828772027,1.56771810282365,0.118433550777714,3.53809353781427,2.31932397267588,0.118433550777714,0.666965369503753,0.301610402480426,0.00201163693536533,0.312347967561777,1.05342000704176,0.00329033598188405,3,3,3,"20230430",35.132195,FALSE,FALSE
"75","GAL2023_091",8.4535897667748,1.06953325380075,0.0904139536955536,5.55786546039053,2.27011907351226,0.126170163896475,2.509956291699,0.444323490528873,0.126170163896475,0.657509914039699,2.5271426113685,0.0166162132116697,0.298085188487787,0.733159710821087,0.00218544050591755,3,2,3,"20230430",35.064395,FALSE,FALSE
"76","GAL2023_092",7.8577480614712,2.21345813094862,0.173927963376092,4.9656988058692,2.95386584967817,0.146680081224447,2.4517594879246,3.35760538503882,0.146680081224447,0.631897556742199,0.740649846732999,0.00468014828552066,0.311978563823683,1.14457257261924,0.00357082107397728,2,2,2,"20230430",34.437245,FALSE,FALSE
"77","GAL2023_093",7.0547248280118,3.40368986440162,0.240120953932462,4.62486669868793,3.76308105698646,0.174037482649201,2.2385378101668,6.81236929421099,0.174037482649201,0.65560358575929,1.88603775424709,0.0123649311456179,0.315773410863326,5.72839122415472,0.0180887363561088,6,5,6,"20230410",30.589595,FALSE,TRUE
"78","Gal2023_067",12.5089217895695,1.61553141588581,0.202085561299081,8.14440205242347,1.45153747951617,0.118219048273411,3.7329441488896,2.06303794335737,0.118219048273411,0.651110128482327,0.746910705860855,0.00486321125657886,0.298408737432019,0.494052261729967,0.00147429511648273,3,3,3,"20230410",34.555895,TRUE,FALSE
"79","Gal2023_068",10.4550744508777,1.7322654774965,0.181109645359111,7.17384367395506,0.547334464235808,0.0392649188379563,NA,NA,0.0392649188379563,0.686340025610902,2.28813767867633,0.0157044047298399,NA,NA,NA,3,0,3,"20230410",32.826995,FALSE,FALSE
"80","Gal2023_069",10.3596858227481,0.628257595777409,0.0650855130800905,6.67830338915053,0.890558714839452,0.0594742128354986,3.08144914096373,1.55027781288182,0.0594742128354986,0.644682524161367,1.48798911832447,0.00959280580726067,0.29746707825588,2.02324454230992,0.00601848642598087,3,3,3,"20230410",32.826995,FALSE,FALSE
"81","Gal2023_070",9.97565546826706,2.37116054760338,0.236538806828387,6.54011290705933,1.43418155517185,0.0937970930004584,3.09988413599147,1.55475362464104,0.0937970930004584,0.655928817913158,3.35080413815673,0.0219788899739966,0.310937928382576,3.93905727401387,0.0122480230856219,3,3,3,"20230410",32.826995,FALSE,FALSE
"82","Gal2023_071",4.40544687992187,1.24557521971275,0.0548731546539153,2.79208245704027,3.22981206829574,0.0901790161542547,1.2056730585732,5.08108144755925,0.0901790161542547,0.633902540128149,3.82825640048064,0.0242674145652652,0.273707938216292,5.26811032581214,0.01441923615574,3,3,3,"20230411",36.589895,FALSE,FALSE
"83","Gal2023_072",10.9352853994596,1.57535306217971,0.172269353398477,7.27139800725533,1.39983061679558,0.101787255574624,3.387665774295,2.45225826000271,0.101787255574624,0.664960869230668,0.215334361598268,0.00143188924263615,0.307000312673142,2.3166849267142,0.00711222996866414,3,2,3,"20230411",30.386195,FALSE,FALSE
"84","Gal2023_074",10.7888739236956,2.20512468393101,0.237908122009608,7.35880833120267,3.17043057951606,0.233305909620424,3.24628017981467,3.61373590659066,0.233305909620424,0.682051696253434,2.08159746967909,0.0141975708511148,0.30083226249671,1.47461904682168,0.00443612984176109,3,3,3,"20230411",26.013095,TRUE,FALSE
"85","Gal2023_075",8.90035123450973,3.25777308525136,0.289953247010695,6.13753523147413,2.90844807840786,0.178507025501415,2.76884893592147,6.19232477259439,0.178507025501415,0.689646009091723,0.763318777201468,0.00526419748361767,0.310908222872953,3.01972145148097,0.00938856230051282,3,3,3,"20230411",24.487595,TRUE,FALSE
"86","Gal2023_076",9.88422264598013,1.86549630657544,0.184389808394453,6.34679241826907,6.5549322235614,0.416027941387671,3.06954533547653,0.737995558281587,0.416027941387671,0.642342422935039,7.02468800454946,0.04512255113205,0.310596193509862,1.22760736501282,0.00381290174697652,3,3,3,"20230411",28.826795,TRUE,FALSE
"87","Gal2023_077",11.2309651793768,0.572513412862621,0.0642987820458627,7.57030856795173,2.16765465978655,0.164098146433426,3.44455515416413,2.01038541339945,0.164098146433426,0.674015995882635,1.60518731278631,0.0108192192520584,0.306685001141018,1.4518814715201,0.00445270270749766,3,3,3,"20230411",32.962595,FALSE,FALSE
"88","Gal2023_078",5.451035845964,1.25365927205246,0.068337416305831,3.35228744426333,2.99104274249023,0.10026835030905,1.70004936917093,2.37186443968269,0.10026835030905,0.614960539991306,2.49680039665985,0.0153543372018045,0.311941190371405,3.21603794759606,0.0100321470565273,3,3,3,"20230411",45.098795,FALSE,FALSE
"89","Gal2023_079",11.0095454257572,0.651646933355227,0.0717433651432974,7.05551036703347,2.13692016946729,0.150770624091994,3.2169807632532,3.20785009335224,0.150770624091994,0.640907453327247,2.57165631471884,0.0164819369949939,0.292216408324646,3.39816740838429,0.00993000274963928,3,3,3,"20230411",45.098795,FALSE,FALSE
"90","gal2023_073",12.411688058098,0.727787780008912,0.0903307489796627,8.11974618695507,1.15666130846007,0.0939179624896708,3.82845564960213,0.550574182369038,0.0939179624896708,0.654215023313691,1.19754406463421,0.00783451318163839,0.30845908039799,0.325393304663151,0.00100370519524059,3,3,3,"20230411",34.894895,FALSE,FALSE
